age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
44,m,4,4,4,3,3,2,3,3,3,4,3,3,4,4,3,4,3,2,3,3,4,3,3,3
46,m,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
51,m,3,4,4,2,4,4,4,4,3,4,4,3,3,3,2,3,3,2,4,4,3,5,3,2
56,m,2,2,2,3,3,3,4,4,3,4,3,2,2,2,2,3,3,2,3,4,2,4,3,2
44,m,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63,m,4,4,4,2,3,4,4,4,2,4,4,3,4,4,4,2,4,4,4,4,2,4,4,3
59,m,3,2,3,2,3,3,4,4,4,3,4,3,2,2,3,3,3,2,3,4,4,2,2,2
62,m,4,3,2,2,3,3,4,2,3,2,3,2,4,2,3,2,3,3,4,3,2,3,3,2
39,m,3,4,4,3,4,4,4,3,2,2,3,3,3,2,4,4,3,3,3,3,4,3,3,3
51,m,2,3,3,2,4,3,4,3,2,3,3,3,3,3,3,2,4,3,4,3,2,3,3,3
53,m,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,3,3
51,m,4,4,4,4,2,2,2,2,4,4,2,2,4,4,4,4,2,2,2,2,4,4,2,2
66,m,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3
41,m,1,1,1,2,3,4,3,1,2,2,3,2,1,1,2,2,3,2,2,2,2,2,2,2
39,m,4,4,4,2,3,2,3,2,4,3,2,2,4,4,4,4,3,2,3,2,4,3,2,2
46,m,3,2,4,3,4,2,5,4,2,4,4,3,3,2,3,1,4,3,5,2,1,4,3,2
50,m,1,1,1,4,4,2,5,4,2,5,1,2,1,1,1,4,3,1,4,4,2,5,2,1
62,m,2,2,2,3,4,2,4,4,4,4,3,2,2,2,2,3,4,3,4,4,2,4,2,2
75,m,1,2,1,2,3,2,4,4,2,4,4,2,2,2,2,2,3,3,4,4,2,4,4,2
68,m,2,2,2,2,4,4,4,4,3,4,4,3,2,2,2,2,4,3,4,4,3,3,4,3
69,m,4,5,4,2,2,4,4,4,2,4,4,3,4,5,4,2,2,4,4,4,2,4,4,3
48,m,4,4,4,2,4,2,2,3,4,3,3,2,4,4,4,2,4,3,3,3,4,3,3,3
60,m,4,2,2,2,4,3,4,3,3,4,2,2,3,4,2,2,2,2,4,4,4,4,2,2
66,m,3,3,2,3,4,3,4,4,3,4,4,4,3,3,3,3,2,3,4,4,3,4,4,3
61,m,4,4,3,2,2,3,4,4,3,4,4,2,4,4,3,2,3,2,4,4,2,4,4,2
52,m,3,2,3,3,4,3,4,3,3,4,3,3,3,2,3,3,3,3,4,3,2,4,2,3
41,m,4,4,4,2,3,3,4,4,3,3,4,3,4,4,4,3,3,3,4,4,3,3,4,3
48,m,2,2,2,3,3,3,4,3,1,4,3,3,2,2,2,2,3,3,4,3,1,5,3,2
53,m,2,2,2,2,4,4,4,4,3,3,4,4,2,2,2,2,4,4,4,4,3,3,4,4
68,m,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,2,2,4,4
54,m,2,2,2,2,1,2,4,4,2,3,3,3,2,2,2,2,1,2,4,4,2,3,4,2
40,m,5,5,3,3,4,3,3,4,1,4,4,2,5,5,3,2,3,4,4,4,1,4,4,2
35,m,2,4,3,4,2,2,2,2,4,4,4,2,2,4,3,4,2,2,2,2,4,4,3,2
43,m,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3
58,m,3,3,3,3,3,3,4,3,2,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3
50,m,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3
63,m,3,2,2,2,2,4,4,3,2,4,4,3,3,2,2,2,2,3,4,3,2,4,3,2
49,m,4,4,4,2,4,3,4,4,3,3,4,3,4,4,4,2,4,4,4,4,2,3,4,3
50,m,4,4,4,2,4,3,4,4,3,4,4,3,4,4,4,2,4,4,4,4,3,4,4,3
45,m,1,2,1,4,4,1,4,1,4,4,1,1,1,1,1,5,1,1,1,1,5,5,1,1
48,m,4,4,4,2,4,3,4,4,3,4,4,3,4,4,4,2,4,3,4,4,3,4,4,3
56,m,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,5,1,1,1,1,5,5,1,1
66,m,4,3,3,3,4,2,4,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3
53,m,4,4,4,2,4,3,4,3,3,4,2,2,4,4,3,2,4,3,4,3,3,4,2,2
54,m,3,3,3,4,4,3,4,3,3,4,4,3,4,3,3,3,4,3,4,3,3,4,3,3
73,m,2,2,2,2,2,3,4,4,3,4,3,2,2,2,2,2,2,2,2,4,3,4,3,3
37,m,3,3,2,3,3,3,4,3,4,3,4,2,3,3,2,4,3,3,3,3,5,3,3,2
36,m,3,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
51,m,4,4,4,2,3,3,4,4,3,3,4,3,3,4,3,3,3,4,4,4,3,3,4,3
29,f,4,4,3,1,3,4,4,4,4,4,4,3,4,5,4,4,3,3,4,4,3,3,3,3
47,f,4,3,4,2,4,3,4,3,2,2,5,4,3,4,3,2,4,3,3,4,2,3,4,3
44,f,4,4,4,2,3,3,2,4,2,2,4,3,4,4,4,2,3,3,4,4,2,3,4,3
