age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
36,m,4,3,1,2,5,1,3,4,1,3,3,4,4,2,4,2,5,2,3,4,1,2,4,4
43,m,3,2,3,4,4,2,3,3,4,4,2,2,2,2,2,3,4,3,3,4,4,4,3,2
46,m,3,3,3,3,3,3,5,4,3,4,4,3,3,3,3,3,3,3,5,4,3,4,4,3
30,m,2,4,2,4,2,3,4,5,2,4,5,2,4,2,2,2,1,3,4,4,2,4,5,2
54,m,4,4,4,3,4,3,4,4,3,4,3,2,4,4,4,4,4,3,4,4,3,4,4,3
37,m,2,2,2,3,3,3,2,2,3,3,4,3,2,3,3,4,3,3,2,3,2,2,3,3
40,m,3,3,2,3,3,3,4,4,3,3,3,2,3,3,2,3,3,2,4,4,4,4,3,2
66,m,4,3,4,2,4,3,4,4,4,4,4,3,4,3,4,2,4,3,4,4,4,4,4,3
52,m,3,2,3,4,3,3,4,4,4,3,4,3,2,2,2,4,3,2,3,2,3,4,3,2
45,m,2,4,4,2,4,4,4,4,2,4,4,3,4,4,3,2,2,3,3,4,4,3,2,3
48,m,4,4,4,1,4,4,5,4,1,1,4,4,5,5,5,5,5,5,5,5,1,5,5,5
48,m,2,2,4,2,4,2,4,4,1,4,4,4,4,4,4,1,5,4,4,5,2,4,4,4
38,m,4,3,3,3,2,3,3,3,3,4,3,3,2,2,2,4,3,3,3,3,3,3,3,3
69,m,3,4,5,2,4,3,4,4,2,3,4,3,3,4,5,4,4,4,4,4,2,3,4,3
52,m,3,3,3,4,3,4,3,4,3,2,3,3,3,3,3,4,3,3,3,3,3,2,3,3
51,m,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,2,2,2,2,3,3,3,3,3
49,m,3,3,3,2,4,3,4,4,3,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3
38,m,2,2,2,2,3,4,4,3,2,3,2,3,2,2,2,2,4,3,4,3,2,2,3,3
42,m,4,3,2,2,3,2,5,4,4,4,2,1,2,2,2,5,2,2,4,4,2,5,4,2
56,m,5,5,2,2,3,2,2,3,1,4,2,1,5,5,1,2,3,2,4,4,1,5,4,2
66,m,4,4,4,2,4,3,4,4,3,4,3,3,4,4,4,2,4,3,4,4,3,4,4,3
51,m,4,3,4,2,4,3,4,4,3,3,4,3,4,3,3,2,4,3,4,4,3,3,4,3
64,m,2,2,2,3,3,3,4,2,3,4,4,2,2,2,2,3,3,3,3,2,3,4,4,2
53,m,3,2,2,4,2,1,2,2,3,4,3,2,2,2,2,2,2,2,2,2,3,5,2,2
59,m,2,2,2,4,4,3,4,4,2,4,4,2,2,2,2,4,2,2,2,4,4,4,2,2
45,m,2,4,4,3,2,2,3,3,4,3,2,2,2,2,2,2,3,3,2,2,3,3,3,2
66,m,3,4,4,2,4,4,4,4,2,4,4,3,3,3,3,2,4,4,4,4,2,4,3,2
51,m,2,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,3
61,m,3,3,3,4,3,4,4,3,3,3,4,3,4,3,3,4,3,4,4,4,4,3,4,4
56,m,4,4,4,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
61,m,4,4,4,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4
43,m,4,5,3,3,4,3,4,5,3,3,4,3,4,4,3,2,3,3,4,4,3,3,3,3
56,m,2,4,4,3,4,3,4,4,1,4,4,3,4,4,3,1,4,4,4,4,1,4,4,3
55,m,3,2,2,3,4,3,4,3,2,3,3,4,3,2,2,2,4,3,4,3,2,3,3,4
58,m,2,2,1,3,2,1,4,4,4,4,4,2,2,2,1,4,2,1,2,2,4,4,3,1
65,m,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57,m,4,4,4,2,4,3,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
59,m,3,2,2,3,4,3,4,4,2,3,4,4,2,2,3,3,4,3,3,2,3,3,4,3
50,m,3,4,4,2,4,3,4,3,2,3,4,3,3,4,4,2,4,3,4,4,2,3,4,3
44,m,3,2,2,2,4,3,4,4,2,2,4,3,3,2,2,2,4,4,4,4,2,3,4,3
65,m,2,2,2,3,3,3,4,3,4,4,3,2,2,1,2,3,3,3,2,3,4,4,3,2
24,m,1,1,1,3,3,1,3,3,1,3,3,1,1,1,1,3,3,1,1,1,3,3,1,1
56,m,1,3,3,2,3,1,3,1,3,4,2,1,1,1,1,3,3,1,2,2,3,5,1,1
71,m,4,4,4,2,4,3,4,4,2,3,2,2,3,4,4,3,4,3,4,2,2,2,3,2
52,m,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4
45,m,4,4,2,2,4,4,4,4,2,4,4,3,2,2,2,2,3,4,4,4,2,4,4,4
37,m,2,4,4,2,1,2,4,4,4,4,4,2,3,3,2,2,1,4,4,4,2,3,4,4
41,m,2,4,3,3,4,2,4,3,2,4,4,3,2,3,3,3,3,3,4,4,2,4,4,3
54,m,2,2,2,3,3,3,4,4,3,4,4,2,2,2,2,3,3,3,3,4,4,4,4,3
58,f,4,4,5,2,4,4,4,5,2,2,4,4,4,4,4,2,4,4,4,5,2,2,5,4
49,f,4,4,4,3,3,3,3,4,2,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3
52,f,2,4,3,2,3,4,4,3,3,4,1,1,3,2,2,4,3,3,4,3,2,3,2,2
66,f,4,4,4,2,4,3,4,4,2,2,4,3,4,3,3,2,4,3,4,4,2,3,4,3
