age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
57,m,4,4,4,3,3,3,4,4,3,3,4,3,4,4,3,3,3,3,4,4,3,3,4,3
52,m,2,2,2,3,3,3,4,3,3,4,4,2,2,2,2,3,3,3,4,4,3,4,4,2
20,m,2,3,2,1,5,5,5,4,1,2,5,5,3,2,4,2,5,5,5,4,1,3,5,5
48,m,3,4,4,3,4,3,4,4,3,3,4,3,3,4,4,3,4,3,4,4,3,3,4,3
36,m,2,2,3,2,4,3,4,3,4,3,3,2,2,2,2,2,4,3,4,3,3,3,4,2
42,m,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3
64,m,4,4,4,3,4,2,4,3,4,3,3,2,4,4,3,3,4,4,4,4,4,4,3,3
50,m,2,3,2,2,4,4,4,4,2,2,4,4,2,2,2,4,4,4,4,4,2,2,4,4
48,m,2,4,2,3,2,2,3,2,3,4,2,2,2,4,3,3,3,2,3,2,3,2,2,2
44,m,4,5,4,2,2,2,4,4,4,4,2,2,3,4,3,4,2,3,4,3,3,4,4,2
27,m,4,3,4,2,4,3,4,4,2,2,4,3,4,4,3,2,4,4,4,3,2,2,4,3
51,m,3,4,2,2,3,3,4,4,2,3,4,3,3,4,2,2,4,3,4,4,2,3,4,3
59,m,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,4,2,4,4,3
49,m,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,4,3,2
45,m,2,3,2,2,4,4,4,3,2,4,4,3,2,3,2,2,4,4,3,4,3,4,4,3
62,m,2,3,3,2,4,3,4,4,2,3,4,3,2,2,2,2,4,3,4,4,2,3,4,3
46,m,2,2,2,4,2,1,2,2,5,4,2,1,2,2,1,5,1,1,1,1,5,4,1,1
40,m,3,4,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,5,3,3,3,3,3
44,m,3,5,4,3,3,3,4,4,2,3,3,2,3,3,3,2,4,2,3,3,3,3,4,2
46,m,4,2,2,2,4,3,4,4,4,4,3,2,4,3,4,2,4,4,4,4,2,2,4,3
59,m,1,1,1,3,4,3,4,4,2,4,4,2,1,1,1,2,2,3,4,4,2,4,4,2
51,m,4,4,4,3,4,4,4,3,2,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4
37,m,1,5,3,3,4,1,1,4,3,5,3,1,1,5,1,5,1,1,1,3,3,5,3,1
64,m,4,4,2,3,4,4,4,3,4,2,4,3,4,4,2,2,3,4,4,2,4,2,4,3
54,m,4,4,4,2,2,3,4,4,2,4,4,3,3,3,2,2,2,3,4,4,2,4,4,3
48,m,3,3,4,4,3,3,4,4,3,4,4,2,2,2,2,3,2,2,2,2,2,2,2,2
60,m,3,2,2,1,4,3,4,4,2,3,4,3,2,2,2,1,4,3,4,4,2,3,4,3
62,m,3,4,4,3,4,3,3,3,2,3,3,3,4,3,3,2,4,3,3,3,2,4,3,3
46,m,3,3,3,2,2,2,3,3,2,4,4,3,3,3,3,2,2,2,3,3,2,3,3,4
45,m,2,2,2,3,4,3,2,4,3,4,4,3,2,2,2,3,4,3,3,4,3,4,4,3
