age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
56,m,3,3,4,2,4,4,4,3,3,3,4,4,3,4,4,2,4,4,4,4,3,3,4,4,4
70,m,3,4,3,2,4,3,4,4,3,3,4,3,3,2,3,2,4,4,4,4,2,3,4,3,4
72,m,2,2,2,2,3,3,4,4,3,4,4,2,3,3,2,2,4,4,4,3,2,4,4,2,4
51,m,3,2,2,2,4,4,4,4,2,3,3,3,2,2,2,2,4,4,4,4,2,4,4,2,4
47,m,4,4,4,2,4,4,3,4,2,2,4,4,4,4,4,1,5,4,4,4,2,3,4,4,5
58,f,1,1,1,3,3,3,3,4,4,4,2,2,2,2,3,3,2,2,2,4,4,4,2,2,3
62,m,3,3,4,3,3,3,3,4,3,3,2,3,2,3,3,3,3,4,3,3,3,4,3,3,3
65,m,3,3,3,3,3,3,3,4,2,4,3,2,3,2,3,3,3,2,3,4,2,4,3,2,4
42,m,4,4,4,2,4,4,4,4,2,3,3,2,4,4,4,4,4,4,4,4,2,2,4,3,4
72,m,2,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,4
75,m,2,3,3,3,2,3,3,3,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3
47,f,1,1,1,3,3,3,2,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,3,2,2
46,m,1,1,1,3,3,3,3,4,3,3,3,2,1,1,1,3,3,3,3,3,3,3,3,2,3
54,m,4,4,4,3,3,3,4,4,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
31,m,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
59,m,2,3,2,2,3,3,3,2,3,4,3,2,2,3,2,3,4,2,3,2,2,4,2,2,3
39,m,4,4,4,2,5,4,3,3,5,2,4,4,4,4,4,2,4,4,4,4,3,3,4,4,3
58,f,4,4,4,2,3,2,4,2,4,4,4,2,4,4,3,2,4,3,4,4,3,3,4,3,4
48,m,4,3,4,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
41,f,4,4,4,3,3,3,3,4,2,3,3,3,4,4,4,3,3,4,3,4,2,4,4,4,3
