age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
36,f,4,2,2,2,4,4,5,4,2,2,4,3,4,2,2,2,4,4,5,4,2,2,4,3,4
31,m,2,3,2,3,3,2,2,2,3,2,1,2,2,3,4,2,2,3,2,2,3,4,4,2,4
42,m,2,2,4,3,2,2,3,2,3,3,2,2,2,3,2,3,4,3,1,1,3,2,3,2,2
49,m,2,2,2,1,3,3,4,2,2,4,3,2,3,2,3,2,4,2,4,4,3,4,4,2,4
33,m,3,2,2,3,4,2,3,2,4,3,4,2,2,2,2,3,4,3,3,2,4,3,4,2,2
55,m,4,3,3,2,4,3,3,4,3,4,3,2,2,3,4,3,4,4,3,3,4,4,3,2,3
66,m,4,2,2,2,4,4,4,4,3,4,4,2,4,2,2,2,4,3,4,4,2,4,4,2,4
38,f,4,5,5,2,5,4,5,5,2,2,3,2,4,5,5,1,5,4,5,5,2,2,4,4,4
54,m,4,4,4,3,3,3,3,2,4,4,3,3,4,4,4,3,3,3,2,3,4,3,2,2,1
40,f,3,4,4,3,3,3,4,4,3,3,3,3,4,4,4,2,3,3,4,4,3,3,4,3,4
34,m,2,3,3,3,4,3,3,3,3,2,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3
26,m,1,1,1,5,1,1,1,1,5,5,1,1,1,1,1,5,1,1,1,1,5,5,1,1,3
49,m,1,3,1,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,4,3,2,4,4,4,2
48,m,2,2,2,3,4,2,4,4,4,3,4,2,2,2,2,2,2,2,4,4,4,3,3,3,3
45,m,4,4,4,2,4,4,4,4,2,3,4,3,4,4,4,2,4,4,4,4,2,3,4,4,4
57,m,2,2,2,3,3,2,4,2,2,4,2,2,3,2,2,3,3,2,2,2,4,4,2,2,4
54,m,2,3,2,2,4,3,2,4,3,4,3,3,3,3,3,3,4,4,4,4,3,3,4,3,4
63,f,2,2,2,3,4,2,4,4,2,4,4,2,2,2,2,3,4,3,4,4,2,4,4,2,4
50,m,2,2,2,3,3,3,4,4,3,4,4,3,2,2,2,3,3,3,4,4,3,4,4,3,3
48,m,3,4,2,2,4,4,3,3,3,3,4,3,2,1,1,1,4,4,4,3,1,2,4,4,4
48,m,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
40,m,4,5,4,2,4,2,4,4,3,4,5,4,3,4,3,3,4,2,4,3,3,4,4,3,1
46,f,4,4,3,2,4,3,4,4,4,4,3,2,4,3,3,4,4,3,4,4,4,4,2,2,4
58,m,2,2,2,2,3,3,4,4,4,4,4,2,2,2,2,2,3,3,4,4,4,4,2,2,4
39,m,1,1,1,3,3,3,5,5,3,5,5,3,1,1,1,3,3,3,5,5,3,5,5,3,4
53,m,4,4,4,3,3,3,4,4,2,4,4,3,4,4,4,3,4,3,4,3,4,4,4,3,4
61,m,2,2,2,1,4,3,4,4,3,3,4,2,2,2,2,2,4,3,4,4,3,4,4,2,4
46,m,2,3,2,4,3,3,3,4,2,3,3,2,2,2,2,4,3,2,3,4,2,3,3,2,2
59,f,3,3,3,3,4,3,4,4,3,4,4,3,3,3,3,3,4,3,4,4,3,4,4,3,5
20,f,4,4,3,2,4,3,3,3,2,3,3,3,4,4,4,4,4,3,3,3,2,3,3,3,3
48,f,2,2,3,3,4,3,4,4,2,4,3,2,3,3,2,2,4,3,4,4,2,4,3,3,4
46,f,2,2,2,3,3,3,4,4,3,4,4,3,2,2,2,3,3,3,4,4,3,4,4,3,3
46,f,2,3,3,4,4,3,3,2,4,3,2,2,2,2,2,3,4,3,3,2,3,3,2,2,2
62,f,4,4,2,2,4,3,4,4,3,4,4,2,4,4,2,2,4,3,4,4,3,4,4,2,4
59,m,2,2,3,3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,4,4,3,4,3,3,4
53,f,3,2,2,2,4,4,4,4,2,3,4,3,2,2,2,3,3,2,3,4,2,4,3,2,2
51,f,4,2,3,4,1,2,4,4,3,4,3,2,4,4,4,4,2,2,4,4,4,4,3,2,3
55,f,4,4,4,2,4,3,4,4,4,3,4,3,4,4,4,2,4,3,4,4,3,2,4,4,4
43,m,3,3,3,2,4,3,4,4,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3
70,f,4,4,3,2,4,3,4,4,3,3,3,2,4,4,3,2,4,3,4,4,3,3,4,2,4
53,f,4,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,3,3,4,4,3
38,f,2,2,3,4,4,3,3,4,2,3,4,3,2,3,4,4,3,4,4,4,2,3,4,3,3
52,f,1,1,1,2,4,3,3,3,2,4,4,1,1,1,1,2,4,3,3,4,2,4,4,1,3
