age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q_Behavior
47,f,3,4,3,4,3,2,2,2,3,3,3,2,2,3,3,4,3,2,3,3,3,3,3,2,2
50,m,4,4,3,3,3,2,4,2,3,4,2,2,4,4,3,3,3,2,4,2,3,4,2,2,3
47,m,3,4,3,2,4,3,4,4,3,3,4,3,4,4,4,2,4,3,4,4,3,3,4,3,3
73,m,1,1,4,2,4,4,4,4,3,4,4,3,2,2,2,4,2,2,2,3,4,4,2,2,4
46,m,3,3,3,2,4,3,4,4,2,4,4,2,3,3,3,2,4,3,3,4,2,4,4,2,3
50,f,3,3,3,2,3,3,3,4,4,3,4,2,3,3,3,3,3,3,3,3,4,4,3,2,2
43,f,4,5,4,2,4,3,4,3,2,2,4,4,4,4,4,1,4,4,4,3,2,2,4,4,4
45,m,4,3,3,2,4,4,4,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4
61,m,4,3,4,4,2,4,4,4,3,4,4,3,2,2,2,3,3,4,4,4,4,4,4,3,2
75,f,3,4,3,4,2,3,3,3,4,4,4,3,2,4,3,4,2,3,3,2,4,4,3,2,4
58,m,2,2,2,3,1,2,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,4,4,4
70,m,4,3,2,2,4,3,4,3,4,3,4,2,2,2,1,4,3,2,2,2,4,4,2,2,2
63,m,2,2,2,2,2,3,2,2,3,3,2,3,4,3,4,3,3,3,3,2,3,3,3,2,2
51,f,4,4,4,4,4,3,4,4,2,2,3,3,3,4,3,3,3,2,3,3,2,2,4,3,3
58,f,4,3,2,2,3,3,4,3,2,4,4,3,3,3,3,2,3,3,3,3,3,3,3,2,4
66,m,2,2,2,2,4,4,4,4,2,4,4,3,2,2,2,2,4,4,4,4,2,4,4,3,4
41,f,2,2,1,5,1,1,1,1,4,5,1,1,1,1,1,5,1,1,1,1,5,5,1,1,3
45,m,2,2,2,3,3,3,2,4,3,3,4,3,3,2,2,3,3,3,4,3,3,3,4,3,4
45,m,2,4,4,2,4,4,4,4,4,3,2,2,2,4,2,2,4,4,4,4,4,4,4,2,2
29,f,4,4,3,2,4,2,3,2,4,3,4,2,4,3,4,2,4,2,3,2,4,4,2,2,3
67,f,3,3,2,2,4,3,4,4,2,3,4,3,3,3,3,2,4,3,4,4,2,3,4,3,3
71,f,4,4,4,2,4,3,4,3,2,2,4,4,4,4,4,2,4,4,4,4,2,3,4,3,3
38,f,3,2,2,3,2,1,3,2,3,4,2,2,2,2,1,4,2,2,2,2,3,5,1,1,1
37,f,3,3,2,2,3,1,3,3,4,3,2,1,1,1,1,4,1,1,1,1,4,3,3,1,3
46,f,4,4,4,2,4,4,4,4,2,2,4,3,3,4,4,2,4,4,4,4,3,2,4,3,3
53,f,4,4,4,2,2,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
55,f,2,4,4,2,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,3,3,4,4,4
55,f,1,2,2,2,5,4,5,5,2,4,5,4,2,2,2,1,5,4,4,5,2,4,4,4,3
41,m,3,4,3,2,4,3,4,3,4,4,3,2,2,3,3,4,3,3,3,2,4,4,3,2,2
34,m,2,2,2,4,2,2,3,4,4,4,2,2,2,2,2,2,3,2,3,3,4,4,2,2,3
41,m,3,3,3,2,4,3,4,4,2,4,4,3,3,3,3,2,4,3,4,4,2,4,4,3,4
54,m,4,4,4,3,4,3,4,3,3,4,2,3,3,3,2,3,2,2,4,3,2,4,2,2,3
55,m,2,2,2,2,4,2,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4
45,f,4,5,2,1,4,4,5,4,1,2,5,4,4,5,2,4,4,4,4,4,1,4,4,4,2
47,m,4,4,4,2,4,4,4,4,3,3,4,4,4,4,4,2,4,3,4,4,3,4,4,3,4
39,m,4,3,3,3,3,1,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1
33,m,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,2,4,4,5,3,4,3,4,4,4
47,f,3,2,2,1,5,4,4,4,1,4,4,3,2,2,2,2,4,3,4,4,2,4,4,2,4
67,m,4,2,2,2,5,3,4,4,3,4,3,3,4,2,2,2,4,3,4,4,3,4,3,3,4
36,m,2,2,2,4,3,3,3,4,4,3,4,3,2,2,2,3,3,3,4,4,4,4,4,3,3
52,f,4,3,3,3,4,3,3,3,3,4,3,3,2,2,3,3,4,3,4,3,3,4,3,3,4
49,m,3,2,2,2,4,4,4,4,3,2,4,4,3,3,3,2,4,4,4,3,2,2,4,3,3
43,m,1,5,5,5,1,1,1,1,5,5,5,1,1,1,1,5,1,1,1,1,5,5,1,1,3
38,m,3,3,3,4,2,2,2,2,4,4,3,2,3,3,3,5,2,2,3,2,4,4,2,2,2
22,m,1,1,1,3,2,4,4,3,2,3,3,3,1,1,3,2,3,4,4,3,2,3,3,3,3
45,f,2,2,2,2,2,3,4,4,3,5,4,3,1,2,2,2,3,3,4,4,3,5,4,3,4
36,m,4,4,3,2,4,4,4,4,3,3,4,3,4,4,4,2,4,4,4,4,2,3,4,4,2
45,f,2,4,4,2,4,3,4,4,2,4,2,2,1,2,2,4,2,2,2,3,4,4,2,2,1
54,m,4,4,4,3,3,2,3,4,3,3,2,2,2,4,3,3,3,2,3,3,3,3,2,2,2
52,f,4,4,4,2,4,4,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4
41,m,3,3,3,2,4,3,4,4,1,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
54,f,2,2,2,3,2,3,4,4,2,2,2,3,2,2,2,3,2,3,4,4,2,4,2,2,4
52,m,2,2,2,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4
