age,sex,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
45,m,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3
41,m,1,4,3,3,3,3,4,3,4,4,3,2,2,3,3,3,3,2,3,3,4,4,2,2
48,m,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,3,3
55,m,2,2,2,4,4,4,4,3,3,4,4,2,2,2,2,2,4,4,4,4,3,4,4,4
25,m,1,4,3,4,3,2,2,2,4,3,2,2,2,2,2,3,2,2,3,2,4,3,2,2
50,m,4,4,3,2,4,3,4,2,2,4,2,2,4,4,2,3,3,2,3,4,2,2,2,2
57,m,2,3,3,2,4,4,4,4,2,2,4,4,4,3,4,2,4,4,4,4,2,3,4,4
40,m,3,4,3,2,3,2,3,4,4,4,3,2,3,4,3,3,3,2,3,4,4,4,4,3
52,m,3,4,4,3,4,2,3,4,3,4,4,3,3,3,3,2,3,3,2,3,3,4,3,3
45,m,4,4,4,2,4,3,4,3,4,4,3,2,4,4,4,2,4,3,4,3,4,4,3,2
55,m,2,4,4,4,5,3,4,4,2,2,4,3,4,5,5,1,4,4,4,5,1,2,4,4
51,m,2,4,2,2,4,3,4,4,2,4,4,2,2,4,2,2,4,3,4,4,2,4,4,2
51,m,2,4,2,2,4,3,4,4,2,4,4,2,2,4,2,2,4,3,4,4,2,4,4,2
55,m,4,4,4,3,2,2,4,4,2,4,3,2,4,4,3,2,2,2,4,4,2,4,4,2
51,m,2,4,2,2,4,3,4,4,2,4,4,3,2,4,2,2,4,3,4,4,2,4,4,2
31,m,2,2,3,2,2,2,4,3,2,3,2,1,3,2,2,2,4,3,3,4,3,2,2,3
56,m,2,4,2,2,4,2,4,3,2,4,2,2,2,4,2,3,4,2,4,2,4,4,2,2
46,m,4,5,4,2,4,5,4,4,4,4,5,3,4,5,5,2,4,4,4,4,4,4,4,4
55,m,4,4,4,2,2,3,4,3,3,4,2,2,4,4,4,2,2,3,4,3,2,4,3,3
29,m,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,3,2,3,4,4,4,3,3,3
43,m,2,4,4,4,2,2,2,2,4,4,2,2,4,4,4,4,2,2,4,4,4,4,2,2
